"DONG_CD","STATS_VL","DTA_UNIT_NM","ORGNL_PATH_CN","REG_DT","MDFCN_DT","YR"
"행정동코드","통계값","데이터단위명","원본경로내용","등록일시","수정일시","연도"
"3020000000","22618","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:42","2023/01/02 23:04:02","2014"
"3023000000","21089","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:43","2023/01/02 23:04:02","2014"
"3100000000","97250","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:43","2023/01/02 23:04:02","2014"
"3111000000","23136","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:44","2023/01/02 23:04:02","2014"
"3114000000","26415","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:45","2023/01/02 23:04:02","2014"
"3117000000","12496","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:45","2023/01/02 23:04:02","2014"
"3120000000","11517","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:46","2023/01/02 23:04:02","2014"
"3171000000","23686","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:47","2023/01/02 23:04:02","2014"
"3611000000","19777","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:48","2023/01/02 23:04:02","2014"
"4100000000","1254445","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:48","2023/01/02 23:04:02","2014"
"4111000000","94472","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:49","2023/01/02 23:04:02","2014"
"4113000000","101943","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:50","2023/01/02 23:04:02","2014"
"4115000000","50891","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:50","2023/01/02 23:04:02","2014"
"4117000000","57295","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:51","2023/01/02 23:04:02","2014"
"4119000000","78455","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:52","2023/01/02 23:04:02","2014"
"4121000000","33980","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:52","2023/01/02 23:04:02","2014"
"4122000000","49568","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:53","2023/01/02 23:04:02","2014"
"4125000000","14989","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:54","2023/01/02 23:04:02","2014"
"4127000000","53780","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:54","2023/01/02 23:04:02","2014"
"4128000000","104096","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:55","2023/01/02 23:04:02","2014"
"4129000000","7727","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:56","2023/01/02 23:04:02","2014"
"4131000000","18528","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:56","2023/01/02 23:04:02","2014"
"4136000000","67875","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:57","2023/01/02 23:04:02","2014"
"4137000000","14714","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:58","2023/01/02 23:04:02","2014"
"4139000000","28835","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:58","2023/01/02 23:04:02","2014"
"4141000000","26326","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:59","2023/01/02 23:04:02","2014"
"4143000000","15556","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:02:00","2023/01/02 23:04:02","2014"
